Alumno,Nota,Examen
Alumno1,15.0,A
Alumno2,13.0,A
Alumno3,14.0,A
Alumno5,15.0,A
Alumno6,11.0,A
Alumno7,14.0,A
Alumno9,13.0,A
Alumno12,19.0,A
Alumno18,16.0,A
Alumno19,20.0,A
Alumno21,13.0,A
Alumno26,19.0,A
Alumno32,18.0,A
Alumno8,13.0,B
Alumno10,17.0,B
Alumno14,17.0,B
Alumno22,20.0,B
Alumno23,16.0,B
Alumno27,18.0,B
Alumno28,13.0,B
Alumno30,20.0,B
Alumno31,19.0,B
Alumno34,9.0,B
Alumno35,11.0,B
Alumno37,13.0,B
Alumno39,14.0,B
Alumno4,10.0,C
Alumno11,19.0,C
Alumno13,14.0,C
Alumno15,19.0,C
Alumno16,16.0,C
Alumno17,20.0,C
Alumno20,19.0,C
Alumno24,11.0,C
Alumno25,18.0,C
Alumno29,14.0,C
Alumno33,18.0,C
Alumno36,14.0,C
Alumno38,9.0,C
