Alumno,Nota,Examen
Alumno10,17.0,A
Alumno1,15.0,A
Alumno39,14.0,A
Alumno24,11.0,A
Alumno28,13.0,A
Alumno16,16.0,A
Alumno32,18.0,A
Alumno5,15.0,A
Alumno29,14.0,A
Alumno21,13.0,A
Alumno25,18.0,A
Alumno22,20.0,A
Alumno18,16.0,A
Alumno2,13.0,B
Alumno20,19.0,B
Alumno27,18.0,B
Alumno13,14.0,B
Alumno38,9.0,B
Alumno4,10.0,B
Alumno26,19.0,B
Alumno7,14.0,B
Alumno30,20.0,B
Alumno31,19.0,B
Alumno11,19.0,B
Alumno9,13.0,B
Alumno8,13.0,B
Alumno35,11.0,C
Alumno3,14.0,C
Alumno14,17.0,C
Alumno34,9.0,C
Alumno15,19.0,C
Alumno33,18.0,C
Alumno23,16.0,C
Alumno19,20.0,C
Alumno6,11.0,C
Alumno17,20.0,C
Alumno36,14.0,C
Alumno37,13.0,C
Alumno12,19.0,C
